번호,운영상태,시설명,도로명전체주소,최대수용인원,위도(EPSG4326),경도(EPSG4326)
1,사용중,현대빌딩 본관 지하2층,"서울특별시 종로구 율곡로 75, 현대빌딩 (계동)",6460,37.57747341738085,126.98751965704348
2,사용중,대동세무고등학교 본관 지하1층,"서울특별시 종로구 계동길 84-10, 대동세무고등학교 (계동)",222,37.58105628545779,126.9874826001711
3,사용중,서울농학교 청각언어훈련센터 지하1층,"서울특별시 종로구 필운대로 103, 국립서울농학교 청각언어훈련센터동 지하1층 (신교동)",240,37.58413718522873,126.96884140648686
4,사용중,서울맹학교 초등교육관 지하1층,"서울특별시 종로구 필운대로 97, 국립서울맹학교 초등교육관동 지하1층 (신교동)",378,37.58419964577799,126.96822659927734
6,사용중,유림회관 지하1층,"서울특별시 종로구 성균관로 31 (명륜3가, 유림회관)",3829,37.58555951495042,126.9968402875256
8,사용중,서울대학교병원 융합의학기술원(정림빌딩)지하2층 강당,"서울특별시 종로구 율곡로 214 (연건동, 정림빌딩)",490,37.575940762389344,127.002639632954
10,사용중,창신2동 동대문맨션 지하1층,"서울특별시 종로구 창신길 20 (창신동, 동대문맨션)",253,37.57247163953407,127.01077666363857
11,사용중,우리은행창신동지점 지하1층,"서울특별시 종로구 종로 311 (창신동, (주)우리은행창신동지점)",160,37.57220972140684,127.01227833594984
12,사용중,지하철3호선 안국역 지하1~3층 대합실 승강장,"서울특별시 종로구 율곡로 지하62, 3호선 안국역 (안국동)",12652,37.57677456605093,126.98608594405776
13,사용중,극동문제연구소 통일관 지하2층 주차장,"서울특별시 종로구 북촌로15길 2, 극동문제연구소/통일관 지하2층 (삼청동)",910,37.58665241296551,126.98353796143849
15,사용중,한국방송통신대학교 본관 지하1층~3층 주차장,"서울특별시 종로구 대학로 86, 한국방송통신대학 지하1-3층 (동숭동)",15950,37.57873107512708,127.00246916120466
16,사용중,KT혜화지사 지하1층 체력단련실,"서울특별시 종로구 대학로 65 (연건동, KT혜화지사)",261,37.57712822294289,127.00197551015674
18,사용중,서울지방국세청 지하2~4층,"서울특별시 종로구 종로5길 86 (수송동, 국세청)",9898,37.57401946567565,126.97953821758728
20,사용중,대림빌딩 지하1~2층,"서울특별시 종로구 종로1길 36 (수송동, 대림빌딩)",4789,37.5735029656705,126.97877661344548
22,사용중,한국무역보험공사빌딩 지하2~4층,"서울특별시 종로구 종로 14 (서린동, 한국무역보험공사빌딩)",6184,37.56989745489536,126.9789611078794
23,사용중,연합뉴스빌딩 지하2~3층,"서울특별시 종로구 율곡로2길 25 (수송동, 연합뉴스빌딩)",7098,37.57455537245056,126.98040580939718
